epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_macro_f1,val_precision,val_recall
0,0.19404761493206024,0.00039999998989515007,1.6366827487945557,0.0,0.0,0.23888888955116272,1.619105339050293,0.1757117963633897,0.0,0.0
1,0.22857142984867096,0.00039999998989515007,1.6238865852355957,0.0,0.0,0.27222222089767456,1.5950117111206055,0.23354232924428292,0.0,0.0
2,0.261904776096344,0.00039999998989515007,1.6102741956710815,0.0,0.0,0.2666666805744171,1.5599184036254883,0.2211309990282436,0.0,0.0
3,0.32499998807907104,0.00039999998989515007,1.572704553604126,0.75,0.0035714285913854837,0.3166666626930237,1.5283938646316528,0.2704734961433254,0.5555555820465088,0.02777777798473835
4,0.3285714387893677,0.00039999998989515007,1.5434517860412598,0.42105263471603394,0.009523809887468815,0.3444444537162781,1.529658317565918,0.302201581027668,0.5652173757553101,0.07222222536802292
5,0.3273809552192688,0.00039999998989515007,1.5321389436721802,0.625,0.02976190485060215,0.4277777671813965,1.4704910516738892,0.3965340448697622,0.45945945382118225,0.09444444626569748
6,0.3857142925262451,0.00039999998989515007,1.4757311344146729,0.6716417670249939,0.0535714291036129,0.4055555462837219,1.4678863286972046,0.3739624305494312,0.44680851697921753,0.11666666716337204
7,0.4154762029647827,0.00039999998989515007,1.4182257652282715,0.6272727251052856,0.08214285969734192,0.4166666567325592,1.457913875579834,0.3813777016515201,0.5308641791343689,0.23888888955116272
8,0.43809524178504944,0.00039999998989515007,1.403098225593567,0.6190476417541504,0.12380952388048172,0.4722222089767456,1.3919271230697632,0.45868251991539666,0.54666668176651,0.22777777910232544
9,0.42619046568870544,0.00039999998989515007,1.3748042583465576,0.6158192157745361,0.12976190447807312,0.4444444477558136,1.4425036907196045,0.42222297417711696,0.478723406791687,0.25
10,0.4630952477455139,0.00039999998989515007,1.341389775276184,0.6234309673309326,0.17738094925880432,0.4611110985279083,1.3701190948486328,0.4387437211415802,0.5444444417953491,0.27222222089767456
11,0.48571428656578064,0.00039999998989515007,1.3119754791259766,0.6877636909484863,0.19404761493206024,0.4888888895511627,1.3495920896530151,0.4639679700144816,0.5754716992378235,0.33888888359069824
12,0.4714285731315613,0.00039999998989515007,1.2867326736450195,0.6631205677986145,0.22261904180049896,0.4888888895511627,1.2835334539413452,0.47514510181176844,0.6078431606292725,0.3444444537162781
13,0.488095223903656,0.00039999998989515007,1.2647863626480103,0.6588628888130188,0.23452380299568176,0.5111111402511597,1.2684738636016846,0.5023519687167177,0.5769230723381042,0.3333333432674408
14,0.5178571343421936,0.00039999998989515007,1.2467385530471802,0.6863353848457336,0.2630952298641205,0.5611110925674438,1.2287144660949707,0.5316300837144027,0.6416666507720947,0.4277777671813965
15,0.5202381014823914,0.00039999998989515007,1.2005451917648315,0.7147058844566345,0.28928571939468384,0.5777778029441833,1.1660641431808472,0.5481968135204772,0.65625,0.46666666865348816
16,0.5666666626930237,0.00039999998989515007,1.1764010190963745,0.701298713684082,0.3214285671710968,0.6000000238418579,1.2033495903015137,0.5767185235443113,0.652482271194458,0.5111111402511597
17,0.561904788017273,0.00039999998989515007,1.1782543659210205,0.7041884660720825,0.3202380836009979,0.5777778029441833,1.1970511674880981,0.5398814525321609,0.6788321137428284,0.5166666507720947
18,0.5547618865966797,0.00039999998989515007,1.1664289236068726,0.7098445892333984,0.3261904716491699,0.5777778029441833,1.2206155061721802,0.5571358181114279,0.6616541147232056,0.4888888895511627
19,0.5845237970352173,0.00039999998989515007,1.1644139289855957,0.6985645890235901,0.34761905670166016,0.5888888835906982,1.1772429943084717,0.5751020844343515,0.6408450603485107,0.5055555701255798
20,0.5964285731315613,0.00039999998989515007,1.1109709739685059,0.7250000238418579,0.3797619044780731,0.6166666746139526,1.1897528171539307,0.5967546104473789,0.6688741445541382,0.5611110925674438
21,0.6119047403335571,0.00039999998989515007,1.0679547786712646,0.7485029697418213,0.4464285671710968,0.6222222447395325,1.1664583683013916,0.612562034739454,0.6754966974258423,0.5666666626930237
22,0.6261904835700989,0.00039999998989515007,1.0992857217788696,0.7340205907821655,0.4238095283508301,0.6166666746139526,1.218132734298706,0.5918605214141524,0.6866666674613953,0.5722222328186035
23,0.6523809432983398,0.00039999998989515007,1.0776584148406982,0.7330754399299622,0.4511904716491699,0.5944444537162781,1.1677790880203247,0.5698545396291402,0.6666666865348816,0.5555555820465088
24,0.6428571343421936,0.00039999998989515007,1.0637747049331665,0.7403100728988647,0.45476189255714417,0.644444465637207,1.088304042816162,0.621767363071711,0.7284768223762512,0.6111111044883728
25,0.6833333373069763,0.00039999998989515007,1.011023998260498,0.7671480178833008,0.5059523582458496,0.6277777552604675,1.139888882637024,0.6028087337742861,0.6709677577018738,0.5777778029441833
26,0.6678571701049805,0.00039999998989515007,1.0055720806121826,0.7601410746574402,0.5130952596664429,0.6722221970558167,1.043005347251892,0.6580494284604534,0.7388535141944885,0.644444465637207
27,0.6523809432983398,0.00039999998989515007,1.0221964120864868,0.7586206793785095,0.49761903285980225,0.6555555462837219,1.0376489162445068,0.6356319736601427,0.704402506351471,0.6222222447395325
28,0.7011904716491699,0.00039999998989515007,0.9683578610420227,0.8116438388824463,0.5642856955528259,0.6222222447395325,1.1544307470321655,0.604370417684496,0.6645962595939636,0.5944444537162781
29,0.6785714030265808,0.00039999998989515007,0.9811461567878723,0.7824561595916748,0.5309523940086365,0.6722221970558167,1.0742738246917725,0.6512371411576686,0.71875,0.6388888955116272
30,0.7107142806053162,0.00039999998989515007,0.9417940974235535,0.819298267364502,0.5559523701667786,0.6611111164093018,1.1323140859603882,0.6401903482026168,0.6848484873771667,0.6277777552604675
31,0.688095211982727,0.00039999998989515007,0.9585774540901184,0.7802013158798218,0.5535714030265808,0.6722221970558167,1.0239602327346802,0.6644161478966233,0.7142857313156128,0.6388888955116272
32,0.7345238327980042,0.00039999998989515007,0.9079616069793701,0.8279221057891846,0.6071428656578064,0.6555555462837219,1.0582656860351562,0.6428936740733474,0.6975308656692505,0.6277777552604675
33,0.723809540271759,0.00039999998989515007,0.9211393594741821,0.8112000226974487,0.6035714149475098,0.6833333373069763,1.0472543239593506,0.6759824749969586,0.7134146094322205,0.6499999761581421
34,0.7202380895614624,0.00039999998989515007,0.9053261876106262,0.8062015771865845,0.6190476417541504,0.6944444179534912,0.9828732013702393,0.6851016875313307,0.7407407164573669,0.6666666865348816
35,0.7392857074737549,0.00039999998989515007,0.9072384238243103,0.8171520829200745,0.601190447807312,0.6888889074325562,1.0078428983688354,0.685877601358892,0.7239263653755188,0.6555555462837219
36,0.7488095164299011,0.00039999998989515007,0.8881836533546448,0.826625406742096,0.6357142925262451,0.7055555582046509,0.9955259561538696,0.696392670866355,0.7437499761581421,0.6611111164093018
37,0.7357142567634583,0.00039999998989515007,0.8961586356163025,0.825745701789856,0.6261904835700989,0.6888889074325562,0.9890190958976746,0.6822034887146537,0.7317073345184326,0.6666666865348816
38,0.7488095164299011,0.00039999998989515007,0.8682709336280823,0.8328173160552979,0.6404761672019958,0.7333333492279053,0.9962702393531799,0.7332009755234841,0.7544910311698914,0.699999988079071
39,0.7464285492897034,0.00039999998989515007,0.8678937554359436,0.8158682584762573,0.648809552192688,0.6722221970558167,1.0761327743530273,0.6649308373756007,0.7133758068084717,0.6222222447395325
40,0.7583333253860474,0.00039999998989515007,0.8541182279586792,0.8247734308242798,0.6499999761581421,0.699999988079071,1.064002513885498,0.6933431701319025,0.7222222089767456,0.6499999761581421
41,0.7749999761581421,0.00039999998989515007,0.8223304152488708,0.8571428656578064,0.6785714030265808,0.699999988079071,1.0221158266067505,0.6910883268778006,0.7407407164573669,0.6666666865348816
42,0.7773809432983398,0.00039999998989515007,0.820835530757904,0.8595166206359863,0.6773809790611267,0.6833333373069763,1.049589991569519,0.6793151533967999,0.7272727489471436,0.6666666865348816
43,0.7630952596664429,0.00039999998989515007,0.8397824764251709,0.8325926065444946,0.6690475940704346,0.6777777671813965,1.0174857378005981,0.6734253119907129,0.7329192757606506,0.6555555462837219
44,0.7904762029647827,0.00019999999494757503,0.8186510801315308,0.8508522510528564,0.7130952477455139,0.7333333492279053,0.9693588018417358,0.7301507587086961,0.7791411280632019,0.7055555582046509
45,0.7904762029647827,0.00019999999494757503,0.7960397005081177,0.8502907156944275,0.6964285969734192,0.7222222089767456,1.0090348720550537,0.717323299687575,0.759036123752594,0.699999988079071
46,0.7940475940704346,0.00019999999494757503,0.7965812087059021,0.8583691120147705,0.7142857313156128,0.7333333492279053,1.0002158880233765,0.7291974227806961,0.761904776096344,0.7111111283302307
47,0.8166666626930237,0.00019999999494757503,0.7787761688232422,0.8757143020629883,0.7297618985176086,0.7222222089767456,1.0279017686843872,0.7146338633347379,0.738095223903656,0.6888889074325562
48,0.776190459728241,0.00019999999494757503,0.8067600131034851,0.8272859454154968,0.6785714030265808,0.7444444298744202,0.9763655066490173,0.7385617746885352,0.7869822382926941,0.7388888597488403
49,0.8178571462631226,0.00019999999494757503,0.7723832130432129,0.8775216341018677,0.7250000238418579,0.7111111283302307,0.9912601113319397,0.7078375456394033,0.7485029697418213,0.6944444179534912
50,0.8226190209388733,0.00019999999494757503,0.7666869163513184,0.8847262263298035,0.7309523820877075,0.7222222089767456,1.0107206106185913,0.717659528961393,0.7743902206420898,0.7055555582046509
51,0.8095238208770752,0.00019999999494757503,0.7753352522850037,0.8677918314933777,0.7345238327980042,0.7166666388511658,1.0230580568313599,0.7105949300760593,0.7530120611190796,0.6944444179534912
52,0.8202381134033203,0.00019999999494757503,0.7640711665153503,0.8797736763954163,0.7404761910438538,0.7277777791023254,1.0228677988052368,0.720629212881627,0.7621951103210449,0.6944444179534912
53,0.8071428537368774,0.00019999999494757503,0.7628198266029358,0.8793103694915771,0.7285714149475098,0.6944444179534912,1.0021374225616455,0.6937326700010814,0.7378048896789551,0.6722221970558167
54,0.8202381134033203,9.999999747378752e-05,0.7339291572570801,0.8845618963241577,0.7571428418159485,0.7333333492279053,0.9730672240257263,0.7338979711840309,0.7602339386940002,0.7222222089767456
55,0.8321428298950195,9.999999747378752e-05,0.723444938659668,0.8817934989929199,0.7726190686225891,0.7388888597488403,1.0016225576400757,0.7337697514866464,0.7485380172729492,0.7111111283302307
